segment,component,variant,count,top_quartile_avg_r,top_decile_avg_r,bottom_decile_avg_r,top_quartile_win_rate,top_decile_win_rate,bottom_decile_win_rate,eqh_top_quartile_avg_r,eql_top_quartile_avg_r,eqh_top_quartile_win_rate,eql_top_quartile_win_rate,rank_corr,eqh_rank_corr,eql_rank_corr,win_rate_gap,variance_zero,stability_classification
2-touch,width_component,neutralized,459,0.11073051772056913,0.11073051772056913,0.11073051772056913,0.4596949891067538,0.4596949891067538,0.4596949891067538,0.07044663316996702,0.1508392549470382,0.462882096069869,0.45652173913043476,,,,0.0,False,degenerate
2-touch,formation_delay_component,current,459,0.37066234422899885,0.5248887706874189,0.05860642625745541,0.5847457627118644,0.574468085106383,0.4,0.3397662938632718,0.40486868570533946,0.6290322580645161,0.5357142857142857,0.10690911764617164,0.12820942946770728,0.09082786076161556,0.18474576271186438,False,stable_positive
2-touch,formation_delay_component,inverted,459,0.045262133444792664,0.05860642625745541,0.5248887706874189,0.4262295081967213,0.4,0.574468085106383,-0.09499037662321826,0.20519920632936656,0.38461538461538464,0.47368421052631576,-0.10690911764617164,-0.12820942946770728,-0.09082786076161556,-0.14823857690966175,False,stable_negative
2-touch,formation_delay_component,neutralized,459,0.11073051772056913,0.11073051772056913,0.11073051772056913,0.4596949891067538,0.4596949891067538,0.4596949891067538,0.07044663316996702,0.1508392549470382,0.462882096069869,0.45652173913043476,,,,0.0,False,degenerate
2-touch,wick_ratio_component,current,459,0.19002443016061046,0.2406011360572472,-0.017180247772961087,0.5043478260869565,0.5,0.391304347826087,0.06929167871931113,0.2828957774231484,0.48,0.5230769230769231,0.08004628206339996,0.09018101616372334,0.07368078793557796,0.11304347826086952,False,stable_positive
2-touch,wick_ratio_component,inverted,459,-0.07161625285754102,-0.017180247772961087,0.2406011360572472,0.391304347826087,0.391304347826087,0.5,-0.02712328187301425,-0.1315455607142506,0.4090909090909091,0.3673469387755102,-0.08004628206339996,-0.09018101616372334,-0.07368078793557796,-0.10869565217391303,False,stable_negative
2-touch,wick_ratio_component,neutralized,459,0.11073051772056913,0.11073051772056913,0.11073051772056913,0.4596949891067538,0.4596949891067538,0.4596949891067538,0.07044663316996702,0.1508392549470382,0.462882096069869,0.45652173913043476,,,,0.0,False,degenerate
2-touch,atr_percentile_component,current,459,0.1703412746400162,0.013772941917877974,0.11761147883823178,0.49572649572649574,0.48,0.36363636363636365,-0.04681264304329203,0.3912392253868297,0.423728813559322,0.5689655172413793,0.052159055649286065,-0.06348558354060646,0.1584957232618849,0.1320901320901321,False,stable_positive
2-touch,atr_percentile_component,inverted,459,0.09127374681236744,0.11761147883823178,0.013772941917877974,0.41739130434782606,0.36363636363636365,0.48,0.34339307485299675,-0.17435197380186707,0.5254237288135594,0.30357142857142855,-0.052159055649286065,0.06348558354060646,-0.1584957232618849,-0.06260869565217392,False,stable_negative
2-touch,atr_percentile_component,neutralized,459,0.11073051772056913,0.11073051772056913,0.11073051772056913,0.4596949891067538,0.4596949891067538,0.4596949891067538,0.07044663316996702,0.1508392549470382,0.462882096069869,0.45652173913043476,,,,0.0,False,degenerate
2-touch,distance_at_detect_component,current,459,0.26810538880659074,0.5210705209935782,0.09456776452634447,0.5217391304347826,0.6382978723404256,0.5,0.20355990991735282,0.3252440094626375,0.5370370370370371,0.5081967213114754,0.046673657820496046,0.06261849608126895,0.031060200254361382,0.021739130434782594,False,stable_positive
2-touch,distance_at_detect_component,inverted,459,0.16209565058409467,0.09456776452634447,0.5210705209935782,0.45217391304347826,0.5,0.6382978723404256,0.13869158083647526,0.19595685787852282,0.4264705882352941,0.48936170212765956,-0.046673657820496046,-0.06261849608126895,-0.031060200254361382,-0.1861239592969473,False,stable_negative
2-touch,distance_at_detect_component,neutralized,459,0.11073051772056913,0.11073051772056913,0.11073051772056913,0.4596949891067538,0.4596949891067538,0.4596949891067538,0.07044663316996702,0.1508392549470382,0.462882096069869,0.45652173913043476,,,,0.0,False,degenerate
3-touch+,width_component,current,7,0.104051495553908,0.104051495553908,0.104051495553908,0.42857142857142855,0.42857142857142855,0.42857142857142855,-0.18297738225360843,0.4867566659639299,0.5,0.3333333333333333,,,,0.0,True,stable_negative
3-touch+,width_component,inverted,7,0.104051495553908,0.104051495553908,0.104051495553908,0.42857142857142855,0.42857142857142855,0.42857142857142855,-0.18297738225360843,0.4867566659639299,0.5,0.3333333333333333,,,,0.0,True,stable_positive
