ob_id,side_label,activate_idx,fresh_state_duration,touched_state_duration,partial_state_duration,post_full_pre_terminal_duration,total_live_duration,bars_to_invalidation,bars_to_retirement,terminal_state
333,bull,16363,7.0,0.0,0.0,0.0,7.0,7.0,,invalidated
334,bear,16419,62.0,0.0,2.0,0.0,64.0,,,mitigated_full
335,bear,16429,3.0,0.0,2.0,0.0,5.0,5.0,,invalidated
336,bull,16481,3.0,0.0,0.0,0.0,3.0,3.0,,invalidated
337,bear,16615,4.0,0.0,7.0,0.0,11.0,11.0,,invalidated
338,bull,16706,24.0,0.0,1.0,0.0,25.0,,,mitigated_full
339,bear,16729,6.0,0.0,0.0,0.0,6.0,6.0,,invalidated
340,bull,16810,82.0,0.0,0.0,0.0,82.0,82.0,,invalidated
341,bull,16826,6.0,0.0,0.0,0.0,6.0,,,mitigated_full
342,bull,16852,16.0,0.0,0.0,0.0,16.0,16.0,,invalidated
343,bull,16856,12.0,0.0,0.0,0.0,12.0,12.0,,invalidated
344,bear,16883,1.0,0.0,2.0,0.0,3.0,,,mitigated_full
345,bear,16914,29.0,0.0,2.0,0.0,31.0,31.0,,invalidated
346,bear,16923,17.0,0.0,1.0,0.0,18.0,,,mitigated_full
347,bull,16940,96.0,0.0,0.0,0.0,96.0,,96.0,retired
348,bull,16949,1.0,0.0,1.0,0.0,2.0,,,mitigated_full
349,bull,16952,19.0,0.0,0.0,0.0,19.0,,,mitigated_full
350,bull,17042,6.0,0.0,0.0,0.0,6.0,,,mitigated_full
351,bear,17074,51.0,0.0,0.0,0.0,51.0,,,mitigated_full
352,bull,17185,9.0,0.0,0.0,0.0,9.0,,,mitigated_full
353,bull,17203,96.0,0.0,0.0,0.0,96.0,,96.0,retired
354,bull,17218,6.0,0.0,1.0,0.0,7.0,,,mitigated_full
355,bull,17251,1.0,0.0,2.0,0.0,3.0,3.0,,invalidated
356,bull,17257,96.0,0.0,0.0,0.0,96.0,,96.0,retired
357,bull,17263,96.0,0.0,0.0,0.0,96.0,,96.0,retired
358,bull,17285,84.0,0.0,0.0,0.0,84.0,,,mitigated_full
359,bull,17448,1.0,0.0,0.0,0.0,1.0,,,mitigated_full
360,bull,17452,4.0,0.0,0.0,0.0,4.0,,,mitigated_full
361,bull,17579,12.0,0.0,2.0,0.0,14.0,,,mitigated_full
362,bear,17684,9.0,0.0,15.0,0.0,24.0,24.0,,invalidated
363,bull,17717,2.0,0.0,0.0,0.0,2.0,2.0,,invalidated
364,bull,17727,10.0,0.0,1.0,0.0,11.0,,,mitigated_full
365,bull,17761,96.0,0.0,0.0,0.0,96.0,,96.0,retired
366,bull,17779,1.0,0.0,1.0,0.0,2.0,2.0,,invalidated
