range_id,confirm_age_until_first_material_mismatch,bars_until_active_box_looks_stale,post_confirm_boundary_pressure,post_confirm_internal_containment_decay,post_confirm_relevance_decay,failure_classification,frozen_chart_faithfulness_score,recompute_chart_faithfulness_score,bounded_refresh_chart_faithfulness_score,frozen_visual_plausibility_score,recompute_visual_plausibility_score,bounded_refresh_visual_plausibility_score,frozen_source_coherence_score,recompute_source_coherence_score,bounded_refresh_source_coherence_score
102,3.0,3.0,0.456030688943416,0.16666666666666663,0.38766666666667027,active_box_remained_truthful,0.3913333333333261,0.6361666666666679,0.6361666666666679,0.7415555555555532,0.7741999999999987,0.7741999999999987,1.0,0.8530999999999949,0.8530999999999949
103,1.0,1.0,0.6943636915867537,0.5,0.8697499999999915,confirm_too_early,0.0,0.0,0.0,0.5,0.5,0.5,1.0,1.0,1.0
104,7.0,7.0,0.3300964653513078,0.02941176470588236,0.6988774509803961,active_box_remained_truthful,0.0,0.8292156862745091,0.8292156862745091,0.6568627450980392,0.8521476530005931,0.8521476530005931,1.0,0.7272272727272704,0.7272272727272704
106,2.0,2.0,0.450623310303384,0.25,0.32441666666666913,active_box_remained_truthful,0.6011666666666617,0.8426666666666544,0.8426666666666544,0.7837222222222205,0.7865555555555565,0.7865555555555565,1.0,0.5170000000000148,0.5170000000000148
107,2.0,2.0,0.35711925999338917,0.11111111111111116,0.255388888888892,lineage_fragmentation,0.6003333333333272,0.7164814814814908,0.7164814814814908,0.8297407407407387,0.8452692901234586,0.8452692901234586,1.0,0.9304374999999965,0.9304374999999965
108,2.0,2.0,0.5098331346841297,0.33333333333333337,0.35761111111110544,confirm_too_late,0.6181111111111224,0.6181111111111224,0.6181111111111224,0.7615925925925963,0.7615925925925963,0.7615925925925963,1.0,1.0,1.0
109,1.0,1.0,0.6854578096947984,0.33333333333333337,0.5777777777777828,confirm_too_early,0.1777777777777677,0.1777777777777677,0.1777777777777677,0.6148148148148115,0.6148148148148115,0.6148148148148115,1.0,1.0,1.0
110,2.0,2.0,0.45167948958528764,0.33333333333333337,0.6026111111111101,confirm_too_late,0.12811111111111328,0.12811111111111328,0.12811111111111328,0.5982592592592599,0.5982592592592599,0.5982592592592599,1.0,1.0,1.0
111,2.0,2.0,0.487657165426905,0.25,0.44916666666666555,confirm_too_late,0.3516666666666689,0.717833333333336,0.717833333333336,0.7005555555555563,0.6618333333333339,0.6618333333333339,1.0,0.2676666666666657,0.2676666666666657
112,5.0,5.0,0.7457979396349138,0.09090909090909094,0.20177272727272053,active_box_remained_truthful,0.6873636363636499,0.8643636363636398,0.8643636363636398,0.865484848484853,0.8947848484848508,0.8947848484848508,1.0,0.9109000000000037,0.9109000000000037
113,1.0,1.0,0.7930420622653964,0.25,2.7341249999999966,confirm_too_late,0.0,0.22983333333333655,0.0,0.5833333333333334,0.40994444444444555,0.5833333333333334,1.0,0.0,1.0
114,1.0,1.0,0.620258372418331,0.33333333333333337,0.9154444444444481,confirm_too_late,0.0,0.0,0.0,0.5555555555555555,0.5555555555555555,0.5555555555555555,1.0,1.0,1.0
115,3.0,2.0,0.6892311886586713,0.25,0.4250833333333522,confirm_too_late,0.3998333333332956,0.8754166666666379,0.8754166666666379,0.7166111111110985,0.5580833333333177,0.5580833333333177,1.0,0.04883333333331541,0.04883333333331541
116,1.0,1.0,0.34328455284552484,0.16666666666666663,1.1157777777777684,lineage_fragmentation,0.0,0.06933333333332337,0.06933333333332337,0.6111111111111112,0.3651555555555559,0.3651555555555559,1.0,0.19280000000001107,0.19280000000001107
119,1.0,1.0,0.41705604454172124,0.11111111111111116,0.8288888888888887,frozen_box_became_stale,0.0,0.40822222222222815,0.40822222222222815,0.6296296296296297,0.7132199074074088,0.7132199074074088,1.0,0.7314374999999984,0.7314374999999984
121,3.0,3.0,0.6422633721263535,0.25,0.5375833333333258,active_box_remained_truthful,0.1748333333333486,1.0,0.1748333333333486,0.6416111111111161,0.6666666666666666,0.6416111111111161,1.0,0.0,1.0
122,1.0,1.0,0.894473229706398,0.5,0.7261666666666808,confirm_too_late,0.047666666666638435,0.047666666666638435,0.047666666666638435,0.5158888888888794,0.5158888888888794,0.5158888888888794,1.0,1.0,1.0
