confirm_idx,breach_idx,side_label,source_cluster_id_raw,family,level,strength,age_bars,origin_idx,active_start_idx,sweep_class,tradeable,selectivity_class,micro_interaction,standard_liquidity,displacement_confirmed,quality,pre_breach_distance_atr,followed_by_displacement,followed_by_bos,followed_by_choch,followthrough_available,penetration_atr,active_source_count,nearest_source_distance_atr_signed,nearest_source_distance_atr_abs,session_source_type,session_source_scope,breach_session_phase,historical_max_distance_atr,source_level_key,source_instance_key,family_group
14090,14090,below,14090201.0,session_low,1903.66,0.55,3.0,14086,14087,3,0,displacement_confirmed_sweep,0,1,1,0.5125802588936429,0.5250331051562691,1,0,0,1,0.3439506472341071,9.0,0.04008243763041726,0.04008243763041726,prev_ny_low,completed_previous_session_only,Dead,1.0579727641749634,session_low|below|1903.66,session_low|below|1903.66|14087,session
14094,14093,above,14093101.0,previous_day_high,1916.54,0.6,5.0,14088,14088,4,1,tradeable_sweep_candidate,0,1,1,0.7075636649321733,0.24001315172154347,1,0,0,1,0.9593342511090824,7.0,-0.49029184308437856,0.49029184308437856,,,London,1.4845211856428644,previous_day_high|above|1916.54,previous_day_high|above|1916.54|14088,prior_period
14103,14101,above,14101101.0,previous_week_high,1928.755,0.55,22.0,14079,14079,4,0,standard_liquidity_sweep,0,1,0,0.5625013568795537,0.3984789605904459,0,0,0,1,0.6500135687955372,7.0,-0.3372905053828701,0.3372905053828701,,,NY,2.812004808090009,previous_week_high|above|1928.755,previous_week_high|above|1928.755|14079,prior_period
14110,14109,below,14109201.0,previous_day_low,1923.79,0.55,4.0,14105,14105,4,0,displacement_confirmed_sweep,0,1,1,0.45033947437478206,0.8607762845005823,0,1,0,1,0.20709868593695507,7.0,-0.11563886016783177,0.11563886016783177,,,Asia,0.8607762845005823,previous_day_low|below|1923.79,previous_day_low|below|1923.79|14105,prior_period
14112,14111,below,14111204.0,session_low,1925.715,0.45,3.0,14108,14108,4,1,tradeable_sweep_candidate,0,1,1,0.6291454665266103,0.07095695246825832,1,1,0,1,0.7286970925751425,8.0,-0.2345116333840045,0.2345116333840045,prev_ny_low,completed_previous_session_only,London,0.6541685104776913,session_low|below|1925.715,session_low|below|1925.715|14108,session
14117,14115,above,14115101.0,previous_week_high,1937.43,0.65,9.0,14104,14106,4,0,displacement_confirmed_sweep,0,1,1,0.5311704340800563,0.27421446429359997,1,0,0,1,0.2626235932051126,6.0,-0.2372738255212206,0.2372738255212206,,,Asia,2.0985268480927903,previous_week_high|above|1937.43,previous_week_high|above|1937.43|14106,prior_period
14118,14117,below,14117202.0,session_low,1924.83,0.45,3.0,14114,14114,4,0,standard_liquidity_sweep,0,1,0,0.5559274429742902,1.4052730780075724,0,0,0,1,0.34896223769097856,6.0,0.12083179975447532,0.12083179975447532,prev_ny_low,completed_previous_session_only,London,1.51490211678939,session_low|below|1924.83,session_low|below|1924.83|14114,session
14121,14121,below,14121202.0,session_low,1931.85,0.45,4.0,14117,14117,3,0,displacement_confirmed_sweep,0,1,1,0.5643765686624177,0.3344015495288394,0,1,0,1,0.602099019957509,8.0,-0.05871709450826787,0.05871709450826787,prev_asia_low,completed_previous_session_only,Asia,0.5178403310864662,session_low|below|1931.85,session_low|below|1931.85|14117,session
14128,14125,above,14125101.0,previous_day_high,1942.505,0.55,7.0,14116,14118,4,0,micro_interaction_sweep,1,0,0,0.5383191327570358,0.23458302508707288,0,0,0,1,0.532473891810148,6.0,-0.35257756341178403,0.35257756341178403,,,NY,1.6708960087559626,previous_day_high|above|1942.505,previous_day_high|above|1942.505|14118,prior_period
14129,14129,above,14129101.0,previous_week_high,1937.43,0.55,20.0,14109,14109,3,0,micro_interaction_sweep,1,0,0,0.6607664421984123,0.06948095704809294,0,0,0,1,0.4936228974172803,8.0,0.4544307276726154,0.4544307276726154,,,London,2.0985268480927903,previous_week_high|above|1937.43,previous_week_high|above|1937.43|14109,prior_period
14140,14140,below,14140202.0,support,1925.4837379368619,0.6,3.0,11025,14137,3,0,standard_liquidity_sweep,0,1,0,0.5443211442450467,0.5673733963520968,0,0,0,1,0.3423843154748621,8.0,0.4490551967601595,0.4490551967601595,,,Asia,0.5673733963520968,support|below|1925.4837,support|below|1925.4837|14137,s_r
